image_id,current_filename,recommended_filename,status,source_path
IMG_ACTION_TO_RECOGNIZE,img__action_to_recognize__v1.webp,action_general_recognize_side_001.webp,missing,
IMG_ACTION_TO_REMEMBER,img__action_to_remember__v1.webp,action_general_remember_side_001.webp,missing,
IMG_ACTION_TO_RETURN,img__action_to_return__v1.webp,action_motion_return_side_001.webp,missing,
IMG_ACTION_TO_RISE,img__action_to_rise__v1.webp,action_motion_rise_side_001.webp,missing,
IMG_ACTION_TO_RISE_UP,img__action_to_rise_up__v1.webp,action_motion_rise_up_side_001.webp,missing,
IMG_ACTION_TO_RUN,img__action_to_run__v1.webp,action_motion_run_side_001.webp,missing,
IMG_ACTION_TO_SEE,img__action_to_see__v1.webp,action_general_see_side_001.webp,missing,
IMG_ACTION_TO_SING,img__action_to_sing__v1.webp,action_communication_sing_side_001.webp,missing,
IMG_ACTION_TO_SIT,img__action_to_sit__v1.webp,action_motion_sit_side_001.webp,missing,
IMG_ACTION_TO_SLEEP,img__action_to_sleep__v1.webp,action_daily_sleep_side_001.webp,mapped_from_legacy_word_W,/Users/mansur/universal_study_bot org/backend/static/images/word_W00098.webp
IMG_ACTION_TO_SPEAK,img__action_to_speak__v1.webp,action_communication_speak_side_001.webp,missing,
IMG_ACTION_TO_SPEND,img__action_to_spend__v1.webp,action_general_spend_side_001.webp,missing,
IMG_ACTION_TO_STAND,img__action_to_stand__v1.webp,action_motion_stand_side_001.webp,missing,
IMG_ACTION_TO_STAY,img__action_to_stay__v1.webp,action_general_stay_side_001.webp,missing,
IMG_ACTION_TO_STUDY_OR_LEARN,img__action_to_study_or_learn__v1.webp,action_daily_study_or_learn_side_001.webp,missing,
IMG_ACTION_TO_TAKE,img__action_to_take__v1.webp,action_general_take_side_001.webp,missing,
IMG_ACTION_TO_TAKE_A_VEHICLE,img__action_to_take_a_vehicle__v1.webp,action_general_take_a_vehicle_side_001.webp,missing,
IMG_ACTION_TO_TALK,img__action_to_talk__v1.webp,action_communication_talk_side_001.webp,missing,
IMG_ACTION_TO_TEACH,img__action_to_teach__v1.webp,action_general_teach_side_001.webp,missing,
IMG_ACTION_TO_TELL,img__action_to_tell__v1.webp,action_communication_tell_side_001.webp,missing,
IMG_ACTION_TO_THINK,img__action_to_think__v1.webp,action_general_think_side_001.webp,missing,
IMG_ACTION_TO_TRY_OR_TEST,img__action_to_try_or_test__v1.webp,action_general_try_or_test_side_001.webp,missing,
IMG_ACTION_TO_TURN_OFF,img__action_to_turn_off__v1.webp,action_general_turn_off_side_001.webp,missing,
IMG_ACTION_TO_UNDERSTAND,img__action_to_understand__v1.webp,action_general_understand_side_001.webp,missing,
IMG_ACTION_TO_USE,img__action_to_use__v1.webp,action_general_use_side_001.webp,missing,
IMG_ACTION_TO_WAIT,img__action_to_wait__v1.webp,action_general_wait_side_001.webp,missing,
IMG_ACTION_TO_WALK,img__action_to_walk__v1.webp,action_motion_walk_side_001.webp,missing,
IMG_ACTION_TO_WALK_OR_MOVE,img__action_to_walk_or_move__v1.webp,action_motion_walk_or_move_side_001.webp,missing,
IMG_ACTION_TO_WANT,img__action_to_want__v1.webp,action_general_want_side_001.webp,missing,
IMG_ACTION_TO_WASH,img__action_to_wash__v1.webp,action_daily_wash_side_001.webp,missing,
IMG_ACTION_TO_WATCH,img__action_to_watch__v1.webp,action_general_watch_side_001.webp,missing,
IMG_ACTION_TO_WEAR,img__action_to_wear__v1.webp,action_daily_wear_side_001.webp,missing,
IMG_ACTION_TO_WRAP_OR_CONTAIN,img__action_to_wrap_or_contain__v1.webp,action_general_wrap_or_contain_side_001.webp,missing,
IMG_ACTION_TO_WRITE,img__action_to_write__v1.webp,action_communication_write_side_001.webp,missing,
IMG_CULTURE_YUAN,img__culture_yuan__v1.webp,cultural_chinese_yuan_authentic_001.webp,missing,
IMG_GRAMMAR_A_GENERAL_MEASURE_WORD,img__grammar_a_general_measure_word__v1.webp,icon_grammar_a_general_measure_word_icon_001.webp,missing,
IMG_GRAMMAR_A_PARTICLE_INDICATING_SUGGESTION_OR_REQUEST,img__grammar_a_particle_indicating_suggestion_or_request__v1.webp,icon_grammar_a_particle_indicating_suggestion_or_request_icon_001.webp,missing,
IMG_GRAMMAR_ALL,img__grammar_all__v1.webp,icon_grammar_all_icon_001.webp,missing,
IMG_GRAMMAR_BOTH,img__grammar_both__v1.webp,icon_grammar_both_icon_001.webp,missing,
IMG_GRAMMAR_HOW_MANY,img__grammar_how_many__v1.webp,icon_grammar_how_many_icon_001.webp,missing,
IMG_GRAMMAR_HOW_MUCH,img__grammar_how_much__v1.webp,icon_grammar_how_much_icon_001.webp,missing,
IMG_GRAMMAR_MEASURE_WORD,img__grammar_measure_word__v1.webp,icon_grammar_measure_word_icon_001.webp,missing,
IMG_GRAMMAR_MEASURE_WORD_FOR_BOOKS,img__grammar_measure_word_for_books__v1.webp,icon_grammar_measure_word_for_books_icon_001.webp,missing,
IMG_GRAMMAR_NO,img__grammar_no__v1.webp,icon_grammar_no_icon_001.webp,missing,
IMG_GRAMMAR_NOT,img__grammar_not__v1.webp,icon_grammar_not_icon_001.webp,missing,
IMG_GRAMMAR_PLURAL_MARKER_FOR_PRONOUNS,img__grammar_plural_marker_for_pronouns__v1.webp,icon_grammar_plural_marker_for_pronouns_icon_001.webp,missing,
IMG_GRAMMAR_POSSESSIVE_PARTICLE,img__grammar_possessive_particle__v1.webp,icon_grammar_possessive_particle_icon_001.webp,missing,
IMG_GRAMMAR_QUESTION_PARTICLE,img__grammar_question_particle__v1.webp,icon_grammar_question_particle_icon_001.webp,missing,
IMG_GRAMMAR_STRUCTURAL_PARTICLE_BEFORE_ADVERBIAL,img__grammar_structural_particle_before_adverbial__v1.webp,icon_grammar_structural_particle_before_adverbial_icon_001.webp,missing,
IMG_GRAMMAR_THAT,img__grammar_that__v1.webp,icon_grammar_that_icon_001.webp,missing,
IMG_GRAMMAR_THESE,img__grammar_these__v1.webp,icon_grammar_these_icon_001.webp,missing,
IMG_GRAMMAR_THIS,img__grammar_this__v1.webp,icon_grammar_this_icon_001.webp,missing,
IMG_GRAMMAR_THOSE,img__grammar_those__v1.webp,icon_grammar_those_icon_001.webp,missing,
IMG_LOCATION_ABROAD,img__location_abroad__v1.webp,location_outdoor_abroad_scene_001.webp,missing,
IMG_LOCATION_AFTER_SCHOOL,img__location_after_school__v1.webp,location_building_after_school_scene_001.webp,missing,
IMG_LOCATION_AIRPORT,img__location_airport__v1.webp,location_outdoor_airport_scene_001.webp,missing,
IMG_LOCATION_AT_HOME,img__location_at_home__v1.webp,location_building_at_home_scene_001.webp,missing,
IMG_LOCATION_BEIJING,img__location_beijing__v1.webp,location_building_beijing_scene_001.webp,missing,
IMG_LOCATION_BOOKSTORE,img__location_bookstore__v1.webp,location_indoor_bookstore_scene_001.webp,missing,
IMG_LOCATION_COUNTRY,img__location_country__v1.webp,location_outdoor_country_scene_001.webp,missing,
IMG_LOCATION_ELECTRICITY,img__location_electricity__v1.webp,location_building_electricity_scene_001.webp,missing,
IMG_LOCATION_ELEMENTARY_SCHOOL_STUDENT,img__location_elementary_school_student__v1.webp,location_building_elementary_school_student_scene_001.webp,missing,
IMG_LOCATION_FOREIGN_COUNTRY,img__location_foreign_country__v1.webp,location_building_foreign_country_scene_001.webp,missing,
IMG_LOCATION_GO_HOME,img__location_go_home__v1.webp,location_building_go_home_scene_001.webp,missing,
IMG_LOCATION_GOING_TO_SCHOOL,img__location_going_to_school__v1.webp,location_building_going_to_school_scene_001.webp,missing,
IMG_LOCATION_HOME,img__location_home__v1.webp,location_indoor_home_scene_001.webp,missing,
IMG_LOCATION_HOSPITAL,img__location_hospital__v1.webp,location_indoor_hospital_scene_001.webp,mapped_from_legacy_word_W,/Users/mansur/universal_study_bot org/backend/static/images/word_W00131.webp
IMG_LOCATION_HOUSE,img__location_house__v1.webp,location_indoor_house_scene_001.webp,missing,
IMG_LOCATION_MIDDLE_SCHOOL,img__location_middle_school__v1.webp,location_building_middle_school_scene_001.webp,missing,
IMG_LOCATION_MIDDLE_SCHOOL_STUDENT,img__location_middle_school_student__v1.webp,location_building_middle_school_student_scene_001.webp,missing,
IMG_LOCATION_ON_THE_ROAD,img__location_on_the_road__v1.webp,location_building_on_the_road_scene_001.webp,missing,
IMG_LOCATION_PRIMARY_SCHOOL,img__location_primary_school__v1.webp,location_building_primary_school_scene_001.webp,missing,
IMG_LOCATION_RESTAURANT,img__location_restaurant__v1.webp,location_indoor_restaurant_scene_001.webp,missing,
IMG_LOCATION_RESTROOM,img__location_restroom__v1.webp,location_building_restroom_scene_001.webp,missing,
