word_public_id,word_id,word,meaning_en,status,existing_size_bytes
HSK1-W-0415,W117572,跑,to run,missing,0
HSK1-W-0416,W117573,起,to rise,placeholder_or_tiny,46
HSK1-W-0419,W117576,前天,the day before yesterday,missing,0
HSK1-W-0434,W117591,事,matter or affair,missing,0
HSK1-W-0435,W117592,是不是,is it or not,missing,0
HSK1-W-0440,W117597,说,to speak,placeholder_or_tiny,46
HSK1-W-0473,W117630,一块儿,together,placeholder_or_tiny,46
HSK1-W-0478,W117635,有时候,sometimes,placeholder_or_tiny,46
HSK1-W-0491,W117650,真的,really,missing,0
HSK1-W-0493,W117652,中学,middle school,missing,0
HSK1-W-0494,W117653,中学生,middle school student,missing,0
HSK1-W-0497,W117656,左,left,missing,0
HSK1-W-0498,W117657,坐下,sit down,missing,0
HSK1-W-0500,W123948,马路,road,placeholder_or_tiny,46
